case,ref_link
21,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3300916866604262?__xts__%5B0%5D=68.ARAmn7HaE9rdWGidx5KiSJv703Fx5amxhjuONNwGIKskQCQwXy0Mn0SN7xye33BmgWPKjxLtCZqDieJoeTJWyruErV62FVMDpjWVDfo4nbu7IZSuAjuBT69LL2NAEu-FbDTC5ojjCYfnSIjwOACev9sZxR2uX8T7DwLfT8Td8NqHpUm7M8qV2uhiYsJjcs1TlLxGQMOKTRJzAH-ajIAGGBU8YbOHJnZqR_Ak7QC00nrDGohJFzsJ1crD9nWtm16NiCB3zygxHq8GZsQAi4S46T3pjj8gOJSDvDTgHF2B_Deeygq8senSicu0K1wfh3ZRk4tckci2xhfSjRMU5kI8vuw2cA&__tn__=-R
22,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3300916866604262?__xts__%5B0%5D=68.ARArkizT0qzP6imMZ-L7yQf1DWpCAxQWgxq5X4iVWuyIKDjarLVYQJFoetBB4_cmC0Eek8WGbp0W_hDOz3akRqnWHYlcy-qknI1waL9yk2ejfLhofLi2IjjZSSaQXSfD9jlHaLxLTpeLa57rm-o_mMkPqjAF-WMeAkj2gnAvwkx-YKo343RlN-3HBaPe-zh6Lf_F-QG7ogFTpeE7hceSYff9A3erEmhIkM1Hwn0mpa9pQ_nOsRApBLQEOW8_NfqPceRxSpMgZleRPvqM6IYkBNqvwuQT45CuTmGG2CPROmya78vtFoYlAysiCqkoMT5hLBGIWQy9q-o8OfnA1Kk5qJjFsQ&__tn__=-R
23,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3313255082037107?__xts__%5B0%5D=68.ARDCzTkxTEJ06z5BkvfyeigIEoRjUEBRqXyg9Blgz_O7Q6rV10aahkTBnHrtsXUO-p09W7jIKtMpLTtEkbB1mOPnJABsXZ5-QlnArWaVJxZiXoylHhRAO_VWFRPtGjT1JDB0TYubuDovUOGKBEO6i1CWkN9Y_-Mg7KZvJlHlAjScXOpJFLF3PMvFRC4YQSux-eCpxmnYiurynn38A2W0t5SJSh-VtbjRoxILciJcQUUX1XP1MowLWCiaDiV7ifte9S6MoKVNlQMLjf-XRpAlM2PN4nC5nD6gKLYQAQJjWHu8Uga88Kq7UuR-aWx_FWcWX7bFBSgJ-Yd0iMpsCYno_0wkNg&__tn__=-R
24,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3314098998619382?__xts__%5B0%5D=68.ARD3qA3HTRkFFi3-o61Iybtufn1aMsaCU_RWG-mASkvrf5XlM3s50pf9XMOzHJnSmGS4k-fLzkfiqcvfDNKz4hZaVvhC_ow7ze7OF1f65J90Z0uw-0TDGfB0EtNkPJu3xgJ4nLRBzUiwBdzD7R9gZ2dacpGVEMPDg8al4XSlrK2AVk1_d_tnYnTzSzZif9iS3E-T5vYCQCxRbWHRthY9YCq3TQ_mVRsWhk-sC8ig2CQtFbOfLNJzdVkaiN8olD9Jjc3PSYO_hcwC9aFiP2LSgd4Eh0a2a88fObeMECqHWoKs3z8tTzyQmD0TVI6awfelVArY13ogos2Ytl4nKAVvgfyoOQ&__tn__=-R
25,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3314098998619382?__xts__%5B0%5D=68.ARD3qA3HTRkFFi3-o61Iybtufn1aMsaCU_RWG-mASkvrf5XlM3s50pf9XMOzHJnSmGS4k-fLzkfiqcvfDNKz4hZaVvhC_ow7ze7OF1f65J90Z0uw-0TDGfB0EtNkPJu3xgJ4nLRBzUiwBdzD7R9gZ2dacpGVEMPDg8al4XSlrK2AVk1_d_tnYnTzSzZif9iS3E-T5vYCQCxRbWHRthY9YCq3TQ_mVRsWhk-sC8ig2CQtFbOfLNJzdVkaiN8olD9Jjc3PSYO_hcwC9aFiP2LSgd4Eh0a2a88fObeMECqHWoKs3z8tTzyQmD0TVI6awfelVArY13ogos2Ytl4nKAVvgfyoOQ&__tn__=-R
26,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3314098998619382?__xts__%5B0%5D=68.ARD3qA3HTRkFFi3-o61Iybtufn1aMsaCU_RWG-mASkvrf5XlM3s50pf9XMOzHJnSmGS4k-fLzkfiqcvfDNKz4hZaVvhC_ow7ze7OF1f65J90Z0uw-0TDGfB0EtNkPJu3xgJ4nLRBzUiwBdzD7R9gZ2dacpGVEMPDg8al4XSlrK2AVk1_d_tnYnTzSzZif9iS3E-T5vYCQCxRbWHRthY9YCq3TQ_mVRsWhk-sC8ig2CQtFbOfLNJzdVkaiN8olD9Jjc3PSYO_hcwC9aFiP2LSgd4Eh0a2a88fObeMECqHWoKs3z8tTzyQmD0TVI6awfelVArY13ogos2Ytl4nKAVvgfyoOQ&__tn__=-R
27,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3314098998619382?__xts__%5B0%5D=68.ARD3qA3HTRkFFi3-o61Iybtufn1aMsaCU_RWG-mASkvrf5XlM3s50pf9XMOzHJnSmGS4k-fLzkfiqcvfDNKz4hZaVvhC_ow7ze7OF1f65J90Z0uw-0TDGfB0EtNkPJu3xgJ4nLRBzUiwBdzD7R9gZ2dacpGVEMPDg8al4XSlrK2AVk1_d_tnYnTzSzZif9iS3E-T5vYCQCxRbWHRthY9YCq3TQ_mVRsWhk-sC8ig2CQtFbOfLNJzdVkaiN8olD9Jjc3PSYO_hcwC9aFiP2LSgd4Eh0a2a88fObeMECqHWoKs3z8tTzyQmD0TVI6awfelVArY13ogos2Ytl4nKAVvgfyoOQ&__tn__=-R
28,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3316201105075838?__xts__%5B0%5D=68.ARDXwIFIaDhqGMBkzhckOOpFfY2ZSMmx9n-StquuC8O-p7hyd6vAeXQj8FeOXx4iYH_2cLG8Yg2EDZvS04dclvIVg8H6_JgWFwhBvYos_vwNRCbT2c6dauMshHwNw7VxePihIuUCQDnPu9eCtWFzuuyUFPJGoixHGecSZsHvwEcLohxbzLSVjYjuVusaX2XXst1vYWTI3TzlAhly4H0bvO-7y9ZXX8IdOjFGIygG0p555LCtp3zb5YCzrTxX3ORm81Puoyw7Qqdx8qvgJjMO7CGhruhCzoi5Uu4v0oVlxil4Uw_M9XDDxfN9g-MNJK6N57MTFrO4nPWyjQpXsFKp80T2sA&__tn__=-R
29,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3318454918183790?__xts__%5B0%5D=68.ARDSCDoOR03rJfkoRxOTosQXzuhIdIUAulZMEwEy31Ls-4vNIWVKjHoTXjRrmBQKPW9iCPuhIlqB5gZCRXGDQ6-fJzdZWnwULEL0m3ycGTfY_jEK8KY6MgEg-md0Y-uYuQpB6hJYP2AEYiIzIrEXT9zWYnax3VPABu0jltCl7DaWlku-hwvEMjmIGv2fhi4u7SncocRHA1-H5RC-qGnj3uwJwRg1sgjAQgjb4HPXzVvaUwI0QLXrwOolVVsEnxqHIEun_XH_8BZR3ivFI0UvW-urKognLxDyqMXlz8L96ImQF3GAI9DWv1RoTb3GNAN7CWj5lUz8Sk4Sa8En0gxYjg1mOQ&__tn__=-R
30,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3318454918183790?__xts__%5B0%5D=68.ARDSCDoOR03rJfkoRxOTosQXzuhIdIUAulZMEwEy31Ls-4vNIWVKjHoTXjRrmBQKPW9iCPuhIlqB5gZCRXGDQ6-fJzdZWnwULEL0m3ycGTfY_jEK8KY6MgEg-md0Y-uYuQpB6hJYP2AEYiIzIrEXT9zWYnax3VPABu0jltCl7DaWlku-hwvEMjmIGv2fhi4u7SncocRHA1-H5RC-qGnj3uwJwRg1sgjAQgjb4HPXzVvaUwI0QLXrwOolVVsEnxqHIEun_XH_8BZR3ivFI0UvW-urKognLxDyqMXlz8L96ImQF3GAI9DWv1RoTb3GNAN7CWj5lUz8Sk4Sa8En0gxYjg1mOQ&__tn__=-R
